sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
D1101 沙宣道會堂,1515,25,44,87,132,189,240,301,351,438,512,574,613,674,737,804
D1102 上碧瑤灣遊樂場,2310,30,79,142,239,325,422,532,625,729,891,993,1113,1248,1385,1509
D1103 數碼港郵政局,2071,38,87,184,279,389,484,592,726,844,959,1048,1130,1239,1352,1444
D1201 展亮技能發展中心 (薄扶林),778,10,29,55,71,97,114,131,154,187,210,248,270,300,320,367
D1202 置富南區會堂,8492,207,491,815,1216,1698,2058,2481,2902,3264,3672,4112,4556,4930,5362,5961
D1301 明愛賽馬會香港仔服務中心,2319,36,70,119,221,293,389,468,574,668,767,859,969,1066,1208,1322
D1302 聖公會田灣始南小學,6764,102,307,458,721,926,1141,1357,1550,1789,2031,2317,2552,2860,3161,3380
D1401 香港仔聖伯多祿天主教小學,11369,123,371,700,1051,1384,1769,2100,2100,2977,3385,3668,3963,4378,4887,5604
D1501 香港仔網球及壁球中心,2638,21,91,178,289,386,499,618,720,836,948,1043,1164,1285,1416,1577
D1502 南區長者地區中心,6261,219,301,501,705,955,1231,1441,1701,2015,2311,2626,2915,3160,3498,3944
D1601 黃竹坑體育館,1733,34,51,120,189,254,323,369,438,521,615,704,784,824,883,963
D1602 香港國際學校,2049,33,78,138,222,326,380,443,529,631,725,821,906,986,1090,1179
D1701 赤柱社區會堂,6472,138,322,557,806,1064,1296,1548,1755,1995,2216,2472,2729,2991,3214,3549
D1702 石澳健康院,1208,17,48,100,170,248,301,374,438,438,464,506,556,608,678,744
E0101 仁愛堂陳鄭玉而幼稚園,4259,62,157,294,521,718,927,1129,1362,1591,1751,1936,2122,2538,2615,2896
E0201 九龍公園體育館,12048,151,348,703,1061,1401,1800,2237,2681,3066,3567,3981,4439,4775,5259,5659
E0401 梁顯利油麻地社區中心,7837,107,293,521,841,1159,1496,1734,2078,2422,2758,3019,3349,3678,3997,4427
E0501 油蔴地天主教小學(海泓道),13549,197,523,907,1396,1922,2491,3042,3605,4200,4746,5326,5969,6462,7164,8390
E0601 旺角社區會堂,5906,71,175,362,570,757,955,1153,1318,1557,1745,1969,2164,2337,2521,2678
E0701 明我幼稚園（奧運校）,5732,79,252,516,749,931,1133,1307,1515,1712,1951,2152,2392,2656,2889,3134
E0801 香港保護兒童會中銀幼兒學校,5473,43,185,365,598,837,1103,1454,1717,1976,2262,2549,2819,3110,3388,3832
E0901 路德會沙崙學校,5509,88,227,408,639,860,1108,1356,1562,1826,2033,2249,2472,2730,3004,3236
E1001 大角嘴天主教小學,6574,98,253,489,713,1072,1185,1434,1696,1957,2267,2580,2847,3145,3438,3746
E1101 中華基督教會基全小學,7741,125,326,623,985,1280,1549,2002,2326,2698,3086,3511,3782,4149,4527,4868
E1201 鮮魚行學校,7557,113,274,494,785,1100,1394,1674,1993,2302,2639,2943,3238,3535,3805,4093
E1301 聖公會基榮小學,6365,96,241,441,670,896,1108,1364,1635,1892,2128,2370,2591,2824,3044,3273
E1401 界限街一號體育館,6163,102,277,499,730,987,1247,1503,1729,1998,2252,2491,2729,3001,3268,3578
E1501 優才(楊殷有娣)書院,5560,59,183,365,585,792,960,1155,1393,1620,1848,2048,2222,2419,2600,2838
E1601 東華三院羅裕積小學,5324,70,214,400,578,799,966,1172,1411,1612,1864,2037,2274,2468,2693,2931
E1701 油蔴地街坊會學校,3043,45,114,239,373,540,637,772,955,1099,1212,1324,1546,1661,1819,1955
E1702 香港理工大學紅磡灣校園,568,6,21,40,63,98,116,145,179,202,226,255,283,301,323,340
E1901 佐敦道官立小學,10752,125,337,716,1032,1460,1875,2266,2687,3149,3611,3989,4431,4739,5072,5479
