"sname","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c15","c16","c17"
"F0501 基督教香港崇真會安康幼兒學校","6,444",83,241,"483","760","1,020","1,213","1,464","1,729","2,001","2,248","2,483","2,733","3,015","3,330","3,623"
"F0601 深水埔街坊福利事務促進會","6,445",87,253,"461","697","932","1,113","1,393","1,634","1,934","2,181","2,422","2,623","2,856","3,150","3,398"
"F0701 北河街體育館","4,986",78,201,"350","549","748","921","1,105","1,265","1,447","1,631","1,824","1,985","2,155","2,337","2,495"
"F0801 南昌社區中心","7,720",96,251,"467","720","973","1,217","1,488","1,742","2,036","2,311","2,579","2,944","3,240","3,671","3,943"
"F0901 英華書院","11,250",168,457,"457","1,339","1,611","2,037","2,336","2,731","3,127","3,590","4,030","4,510","4,967","5,647","6,173"
"F1001 麗閣社區會堂","9,105",104,357,"669","1,055","1,445","1,782","2,294","2,521","2,906","3,262","3,681","3,938","4,310","4,662","5,082"
"F1101 旅港開平商會學校","6,125",134,360,"573","793","1,056","1,245","1,453","1,777","2,019","2,234","2,482","2,725","2,971","3,299","3,559"
"F1201 聖公會聖馬利亞堂莫慶堯中學","10,722",162,433,"817","1,192","1,615","1,997","2,485","3,082","3,082","3,082","4,696","4,919","5,453","5,840","6,516"
"F1301 美孚新邨孚佑堂","8,730",101,315,"614","1,007","1,375","1,854","2,288","2,703","3,157","3,621","4,011","4,430","4,818","5,369","5,933"
"F1401 博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心","7,442",107,288,"548","890","1,231","1,563","1,945","2,293","2,738","3,064","3,413","3,783","4,090","4,468","4,971"
"F1501 荔枝角公園體育館","8,175",143,353,"668","1,086","1,504","1,831","2,237","2,652","3,070","3,455","3,854","4,182","4,556","5,013","5,520"
"F1601 荔枝角社區會堂","7,565",95,267,"534","960","1,287","1,683","1,683","3,366","3,366","3,599","4,037","4,343","4,845","5,289","5,833"
"F1701 五邑工商總會學校","4,583",82,215,"390","590","769","936","1,140","1,317","1,527","1,745","1,922","2,127","2,305","2,540","2,753"
"F1801 長沙灣體育館","10,420",164,512,"970","1,459","1,854","2,258","2,673","3,084","3,463","3,829","4,200","4,587","4,932","5,328","5,791"
"F1901 長沙灣社區中心","9,260",116,388,"716","1,064","1,440","1,761","2,157","2,523","2,906","3,343","3,578","3,962","4,312","4,727","5,092"
"F2001 白田社區會堂","7,895",91,261,"564","784","1,097","1,321","1,625","1,880","2,195","2,477","2,751","3,055","3,394","3,719","4,072"
"F2101 聖母玫瑰書院","5,918",82,202,"394","610","846","1,166","1,445","1,716","2,006","2,297","2,530","2,871","3,165","3,517","3,987"
"F2201 大坑東社區中心","8,996",126,336,"722","1,080","1,439","1,719","2,027","2,438","2,805","3,196","3,562","3,980","4,297","4,682","5,062"
"F2301 白田天主教小學","3,797",35,139,"281","411","524","639","770","924","1,105","1,249","1,405","1,589","1,769","1,926","2,076"
"F2302 香港城市大學澤安中心","4,597",74,213,"369","529","728","909","1,064","1,261","1,457","1,655","1,872","2,057","2,257","2,444","2,811"
"G0101 馬頭涌官立小學","9,364",104,351,"696","1,080","1,483","1,859","2,183","2,543","2,988","3,399","3,748","4,166","4,607","5,059","5,477"
"G0201 土瓜灣體育館","13,250",197,589,"1,115","1,694","2,193","2,640","3,219","3,783","4,367","4,914","5,313","6,038","6,532","7,006","7,738"
"G0301 保良局林文燦英文小學","9,598",170,434,"870","1,146","1,525","1,904","2,218","2,590","2,947","3,398","3,890","4,248","4,602","5,064","5,522"
"G0401 獻主會聖馬善樂小學","8,762",85,335,"335","1,086","1,438","1,729","2,104","2,462","2,848","3,244","3,619","3,896","4,281","4,709","5,169"
"G0501 聖文嘉幼稚園","5,543",99,265,"486","703","935","1,143","1,326","1,503","1,727","1,955","2,174","2,388","2,612","2,799","3,055"
"G0502 循道衛理楊震社會服務處何文田青少年綜合發展中心","4,523",86,217,"423","611","793","926","1,069","1,256","1,425","1,654","1,856","2,011",NA,NA,NA
"G0601 余振強紀念中學","6,133",93,267,"451","710","1,002","1,352","1,625","1,878","2,192","2,478","2,732","3,022","3,250","3,551","3,924"
"G0602 何文田官立中學","3,234",47,132,"256","398","538","676","818","951","1,067","1,236","1,377","1,564","1,662","1,809","2,024"
"G0701 明愛九龍社區中心","3,209",32,99,"184","328","485","592","706","832","982","1,125","1,298","1,449","1,594","1,796","2,001"
"G0702 九龍總商會","4,963",74,196,"312","550","798","1,006","1,228","1,453","1,710","1,901","2,106","2,380","2,611","2,831","3,080"
"G0801 賽馬會官立中學","6,566",92,218,"458","706","1,028","1,295","1,514","1,795","2,079","2,366","2,734","2,982","3,255","3,578","3,882"
"G0901 九龍塘官立小學","6,446",97,228,"401","677","981","1,250","1,555","1,848","2,156","2,500","2,819","3,009","3,268","3,599","3,919"
"G0902 九龍方方樂趣幼稚兒園","1,016",20,40,"66","100","178","215","238","288","338","404","447","486",NA,NA,NA
"G1001 九龍城體育館","6,025",61,186,"393","612","794","983","1,187","1,397","1,634","1,839","2,060","2,290","2,513","2,739","2,921"
"G1101 聖三一堂小學","6,640",66,201,"447","716","1,002","1,174","1,515","1,790","2,078","2,392","2,623","2,875","3,060","3,435","3,717"
"G1201 保良局溫林美賢耆暉中心","5,233",107,249,"462","669","852","1,021","1,219","1,379","1,605","1,802","1,992","2,192","2,401","2,643","2,859"
"G1301 佛教陳策文伉儷幼稚園","7,791",211,506,"824","1,181","1,475","1,654","1,956","2,189","2,520","2,813","3,078","3,418","3,698","3,990","4,325"
"G1501 基督教香港信義會紅磡信義學校","5,341",86,212,"444","678","872","1,055","1,254","1,421","1,606","1,809","1,998","2,197","2,387","2,549","2,734"
"G1601 中華基督教會基道中學","5,875",85,212,"367","585","830","1,015","1,250","1,447","1,720","1,939","2,148","2,380","2,610","2,852","3,132"
"G1701 博愛醫院任永賢夫人幼稚園幼兒中心","4,581",54,150,"277","461","671","902","1,117","1,334","1,527","1,749","1,950","2,194","2,376","2,650","3,014"
"G1702 紅磡社區會堂","4,290",60,185,"335","519","640","803","973","1,173","1,378","1,536","1,700","1,850","2,057","2,255","2,466"
"G1801 葛量洪校友會黃埔學校","10,228",112,401,"740","1,158","1,621","2,126","2,806","3,148","3,744","4,289","4,757","5,314","5,766","6,291","7,202"
"G1901 馬頭涌官立小學(紅磡灣)","3,192",42,113,"217","383","558","692","865","1,042","1,222","1,378","1,531","1,698","1,838","2,054","2,233"
"G1902 香港青少年服務處賽馬會方樹泉綜合青少年服務中心","3,157",42,146,"283","408","547","723","889","1,067","1,194","1,330","1,479","1,628","1,781","1,993","2,219"
"G2001 聖公會聖匠中學","9,804",88,311,"644","1,098","1,566","1,965","2,407","2,863","3,420","3,816","4,296","4,677","4,956","5,487","6,068"
"G2101 紅磡市政大廈體育館","8,495",116,357,"708","1,034","1,331","1,691","1,905","2,218","2,546","2,890","3,193","3,400","3,746","4,111","4,371"
"G2201 愛培學校","5,576",101,267,"489","724","933","1,217","1,384","1,657","1,958","2,246","2,440","2,645","2,841","3,118","3,362"
"G2301 何文田體育館","7,490",100,274,"513","797","1,064","1,335","1,555","1,805","2,144","2,417","2,717","3,015","3,304","3,645","3,967"
"G2401 路德會包美達社區中心","10,622",106,396,"707","1,205","1,642","2,050","2,467","3,005","3,500","3,941","4,461","4,808","5,287","5,830","6,375"
"H0101 黃大仙社區中心","12,292",134,470,"916","1,361","1,882","2,290","2,812","3,290","3,783","4,304","4,775","5,240","5,602","6,123","6,651"
"H0201 聖公會基德小學","10,864",120,312,"645","1,040","1,427","1,800","2,185","2,608","3,115","3,526","3,816","4,241","4,740","5,115","5,590"
"H0301 龍翔官立中學","7,292",148,385,"385","913","1,108","1,319","1,645","1,806","2,127","2,354","2,587","2,862","3,100","3,453","3,796"
"H0401 嗇色園西醫診所","6,269",95,265,"467","719","1,001","1,407","1,726","1,726","2,175","2,175","2,857","2,857","3,296","3,640","3,873"
"H0501 鳳德社區中心","12,509",100,359,"665","1,130","1,607","2,082","2,552","2,990","3,488","4,010","4,394","4,871","5,306","5,827","6,465"
"H0601 香港小童群益會賽馬會慈雲山青少年綜合服務中心","6,417",85,229,"446","690","995","1,254","1,556","1,834","2,117","2,435","2,744","3,048","3,355","3,703","4,103"
"H0602 保良局張麥珍耆樂中心","4,160",77,195,"339","503","663","847","1,093","1,288","1,497","1,685","1,885","2,124","2,343","2,602","3,026"
"H0701 可立中學(嗇色園主辦)","4,602",49,197,"350","580","772","928","1,098","1,281","1,455","1,639","1,833","2,022","2,223","2,423","2,627"
"H0702 嘉諾撒小學 (新蒲崗)","6,042",79,256,"469","699","974","1,189","1,427","1,678","1,933","2,205","2,444","2,746","3,039","3,339","3,671"
"H0801 東頭社區中心","10,102",136,437,"745","1,190","1,521","1,921","2,355","2,653","3,135","3,559","3,947","4,300","4,718","5,106","5,541"
"H0901 華德學校","5,475",147,265,"472","631","796","1,072","1,161","1,315","1,492","1,705","1,898","2,054","2,244","2,454","2,657"
"H1001 摩士公園體育館","10,968",108,318,"606","988","1,364","1,690","2,030","2,394","2,850","3,265","3,692","4,084","4,499","4,932","5,379"
"H1101 香港青年協會賽馬會橫頭磡青年空間","5,343",72,202,"371","583","802","999","1,253","1,462","1,692","1,877","2,125","2,305","2,511","2,743","2,937"
"H1102 香港傷殘青年協會賽馬會活動中心","5,542",72,185,"370","538","779","942","1,129","1,309","1,569","1,789","2,019","2,212","2,397","2,623","2,881"
"H1201 天主教博智小學","5,798",109,299,"498","789","1,022","1,282","1,546","1,797","2,096","2,340","2,616","2,875","3,159","3,461","3,750"
"H1202 潔心林炳炎中學","3,958",45,142,"302","453","634","780","956","1,118","1,298","1,480","1,702","1,840","2,054","2,246","2,535"
"H1301 嗇色園主辦可德幼稚園","4,965",49,155,"323","493","643","808","1,013","1,170","1,376","1,584","1,780","1,976","2,141","2,320","2,566"
"H1302 翠竹商場5樓","7,190",96,270,"524","796","1,103","1,347","1,645","1,938","2,203","2,452","2,751","3,024","3,339","3,682","4,058"
"H1401 竹園社區中心","4,689",71,220,"434","614","794","942","1,104","1,264","1,432","1,600","1,752","1,913",NA,NA,NA
"H1402 浸信會天虹小學","3,971",58,127,"245","408","562","695","858","994","1,144","1,326","1,481","1,625","1,788","1,935","2,114"
"H1501 竹園體育館","11,125",127,376,"702","996","1,384","1,762","2,214","2,559","2,985","3,487","3,810","4,224","4,664","5,089","5,671"
"H1601 慈雲山(南區)社區中心","11,622",172,508,"861","1,254","1,693","2,029","2,421","2,823","3,262","3,779","4,202","4,609","5,140","5,636","6,163"
